"Median Household Income by State","",""
"State","Income","Margin Of Error"
"Alabama","$48,486","+/- $364"
"Alaska","$76,715","+/- $894"
"Arizona","$56,213","+/- $275"
"Arkansas","$45,726","+/- $350"
"California","$71,228","+/- $217"
"Colorado","$68,811","+/- $364"
"Connecticut","$76,106","+/- $552"
"Delaware","$65,627","+/- $768"
"District of Columbia","$82,604","+/- $1,081"
"Florida","$53,267","+/- $181"
"Georgia","$55,679","+/- $243"
"Hawaii","$78,084","+/- $607"
"Idaho","$53,089","+/- $400"
"Illinois","$63,575","+/- $187"
"Indiana","$54,325","+/- $230"
"Iowa","$58,580","+/- $313"
"Kansas","$57,422","+/- $337"
"Kentucky","$48,392","+/- $291"
"Louisiana","$47,942","+/- $363"
"Maine","$55,425","+/- $588"
"Maryland","$81,868","+/- $431"
"Massachusetts","$77,378","+/- $425"
"Michigan","$54,938","+/- $166"
"Minnesota","$68,411","+/- $276"
"Mississippi","$43,567","+/- $395"
"Missouri","$53,560","+/- $221"
"Montana","$52,559","+/- $587"
"Nebraska","$59,116","+/- $346"
"Nevada","$57,598","+/- $408"
"New Hampshire","$74,057","+/- $714"
"New Jersey","$79,363","+/- $386"
"New Mexico","$48,059","+/- $438"
"New York","$65,323","+/- $270"
"North Carolina","$52,413","+/- $224"
"North Dakota","$63,473","+/- $688"
"Ohio","$54,533","+/- $167"
"Oklahoma","$51,424","+/- $213"
"Oregon","$59,393","+/- $384"
"Pennsylvania","$59,445","+/- $234"
"Rhode Island","$63,296","+/- $705"
"South Carolina","$51,015","+/- $271"
"South Dakota","$56,499","+/- $508"
"Tennessee","$50,972","+/- $250"
"Texas","$59,570","+/- $209"
"Utah","$68,374","+/- $437"
"Vermont","$60,076","+/- $656"
"Virginia","$71,564","+/- $326"
"Washington","$70,116","+/- $308"
"West Virginia","$44,921","+/- $470"
"Wisconsin","$59,209","+/- $236"
"Wyoming","$62,268","+/- $932"
"Puerto Rico","$20,166","+/- $190"
"Source(s): U.S. Census Bureau, 2014-2018 American Community Survey 5-Year Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ","",""
