Operation Name,Address,State,Milk,Fruit,Soy,Tapioca,lat,long
119 Degrees West Farm,329 Road 11 SE,Washington,0,1,0,0,46.92773102159608,-119.48758442525433
123 Farm,10600 Highland Springs Avenue,California,0,1,0,0,33.9218314,-116.9467354
1700 Stiles Rd Farm,1700 Stiles Road,New York,1,0,0,0,42.6648455,-77.0203123761457
"1St Maine Farm, Hemp & Craft",58 Williams Pond Rd.,Maine,0,1,0,0,44.6466789,-68.7714828
2 Creeks Farm,19986 Maland Dr.,Minnesota,1,0,0,0,43.85426,-91.880024
207 Redwood LLC Dba Purisima Ridge,5579 Old San Jose Rd.,California,0,1,0,0,37.05667212611973,-121.9418312462901
"208 Investments, LLC",La Buena Vida Lane,Nevada,0,1,0,0,32.29407465,-106.73778786704726
3 Brockman Farms,39477 Avenue 12,California,0,1,0,0,36.92316637039373,-119.83122761019919
3 Bug Farm,11 Wiley Neck Rd.,Maine,0,1,0,0,44.2703866,-69.1338444
"340 Calle Lippizana, LLC",340 Calle Lippizana,California,0,1,0,0,34.47280780962927,-120.00422835649789
3Z Farms LLC,8444 Rd 29,California,0,1,0,0,36.87301513063515,-120.01952428604379
4 K&S Dairy,3247 Hwy 18,Wisconsin,1,0,0,0,42.85577705,-87.87292664095071
40 Acre Farm,28214 S. 120 Ave.,Illinois,0,1,0,0,40.806371,-90.769114
4Earth Farms,5555 E. Olympic Boulevard,California,0,1,0,0,34.0304716,-118.2423199
5 Star Nursery And Orchard,853 Bay Rd,Maine,0,1,0,0,44.3127369,-68.570436
5 TOOL FARMS LLC,31397 Killam Road,Illinois,0,0,1,0,39.455653414978855,-89.87843920296969
77 West Farm LLC Dba 77 West Farm,19850 Templeton Rd.,Virginia,0,1,0,0,37.03811545000001,-77.34524560422031
7Th Heaven,2660 Picachio Rd,California,0,1,0,0,35.5007488,-120.940023059169
A & A Farm,2639 Campbell Rd,Michigan,0,0,1,0,43.2781411686747,-82.9375373373494
"A & A Organic Farms, Corp",125 Hanger Way #100,California,0,1,0,0,35.4308452,-119.0435805
A & C Farms,3329 Wisconsin Ave,California,0,1,0,0,33.77097958291457,-118.16177159296483
"A & H Organic Farm, Inc.",Hugh Davis Rd,North Carolina,0,0,1,0,36.329178,-78.059199
A & K Kasik Organic Farms LLC,2390 Road 41,Nebraska,0,0,1,0,40.350542,-97.633034
A & L Organic,39640 290th St,Missouri,0,0,1,0,40.30003088208319,-94.6379600799218
A & L Organics,696 Main St.,Maine,0,1,0,0,44.7625445,-69.4014208
"A & W Farm Operations, Inc",16110 NE 68th St,Iowa,0,0,1,0,41.849532850419806,-93.47345765406186
A . Gurda Produce Inc.,35 Davandjer Lane,New York,0,1,0,0,41.29599463187363,-74.49143206774872
A D Farming,3360 Buckwheat Rd,Pennsylvania,0,0,1,0,41.722203,-76.793761
A Farm Market Organic Farm,7525 Goeke Rd,Illinois,0,0,1,0,42.30728,-89.3975682
A Natural Farm,23630 SR 19,Florida,0,1,0,0,26.887530050000002,-80.1174691487582
A To Z Wineworks And Rex Hill Winery,30835 North Highway 99,Oregon,0,1,0,0,45.5051557,-122.61084982644105
A&F Farms,20646 45th St,Iowa,0,0,1,0,41.12543052441444,-91.32682316199745
A&J Ag. Inc.,391 Rd. 148,California,0,1,0,0,35.79488518051392,-119.24144645565293
"A&M Farms, Inc.",749 Collins Road,Georgia,0,1,0,0,33.247706082250694,-82.04510195003486
A&W Dairy,1594 130th Street,Iowa,1,0,1,0,42.16712853597647,-95.09038230537747
A. Bhatti Farming Company,1500 Reed Rd.,California,0,1,0,0,39.083427889803076,-121.63887376499513
A. Cozzolino Nursery,105 Digges Canyon Road,California,0,1,0,0,37.49939414795832,-122.41776169751803
A. Freddie White,4269 Zoar R,Georgia,0,1,0,0,33.80568816953187,-84.05401716833181
"A.G. Cropping Services, LLC",6541 Turtle Road,Wisconsin,1,0,1,0,46.12865,-90.174691
A.J. Trucco,2440 North Mill Road,New Jersey,0,1,0,0,39.52347886431078,-75.05881708373582
A.W. Johnson & Sons,22703 Picador Dr.,California,0,1,0,0,36.604983,-121.698319
AAK USA Richmond Corp.,1145 Harbour Way South,California,0,0,1,0,37.91738531992018,-122.36019471872369
Aaron Beiler,10013 S. 800 W,Indiana,1,0,0,0,40.40225927354665,-85.82422414140504
Aaron D. Mast,4162 Augusta Rd,New York,1,1,0,0,42.92117915541227,-75.50839517429438
Aaron E. Mast,3528 T.R. 606,Ohio,1,0,0,0,40.920381417439046,-83.92850394861054
Aaron G. Fisher,72 Cerrato Lane,Pennsylvania,1,0,0,0,41.0376163738257,-77.2069562628042
"Aaron K. Fisher, Jr.",492 Marshville Road,New York,1,0,0,0,42.880604274823085,-74.63677162131508
Aaron Kempf,8120 State Route 534,Ohio,0,0,1,0,41.43751349,-80.95513542
Aaron Klinski,9379 Sanden Road,Minnesota,0,0,1,0,43.713749037163176,-91.45945875606317
Aaron L. Lantz,3038 Old Philadelphia Pike,Pennsylvania,1,0,0,0,40.038638275851014,-76.1528240010607
Aaron Lapp,13260 Hwy 126,Wisconsin,1,0,0,0,42.6304955,-88.1147082
Aaron Lapp,17016 County Road G,Wisconsin,1,0,0,0,43.58484,-87.848744
Aaron Lapp,68 Morrison Mill Road,Pennsylvania,1,0,0,0,39.85957010759765,-76.04813240161121
Aaron M. Martin,1748 Pre-Emption Road,New York,1,0,0,0,42.679479,-77.02910324875623
Aaron Mast,44310 151st Avenue,Minnesota,1,0,0,0,45.5480656,-94.4219738
Aaron Miller,7136 S. Clare Ave,Michigan,1,0,0,0,43.87569482432544,-84.76814348914395
Aaron Stoltzfoos,380 Pine Grove Road,Pennsylvania,1,0,0,0,40.694533224744475,-80.4164818497734
Aaron Stoltzfus,90 Eagle Road,Pennsylvania,0,1,0,0,40.15194876823801,-75.49571054280281
Aaron Stutzman,6531 East Surrey Rd,Michigan,0,0,1,0,43.85861766933868,-84.71652031462926
"Aaron Thomas Company, Inc.",7421 Chapman Ave,California,1,0,0,0,33.7882158,-117.8845211
Aaron Vercler Dba Pleasantland Organic Farm,1985 Eureka Road,Illinois,0,0,1,0,40.70433614285714,-89.36325128571428
Aaron Yoder Farm,W354 26 Rd,Wisconsin,1,0,1,0,42.6811696,-90.1214306
"Aaron, Leonard C.",750 Berry Rd,Virginia,0,0,1,0,36.83668654972541,-79.55587884098189
Abbey Ranch,26240 7th St.,California,0,1,0,0,34.032454,-118.5082856
"Abbott Nutrition, A Div Of Abbott Laboratories",901 N Centerville Road,Michigan,1,0,0,0,41.838244,-85.428736
Abe E Miller,812 Gardnersville Rd,New York,0,1,0,0,42.737457366618884,-74.53845035997229
Abe E. Raber,1484 Grant Ave,Iowa,0,0,1,0,42.57251438888889,-91.95384877777778
Abe Schrock,21957 Driftwood Blvd,Iowa,0,0,1,0,40.756941,-92.581205
Abers Acres,884 Route 394,New York,0,1,0,0,42.1063389,-78.8791202
Abie Vegetable People LLC,2230 Rd 41,Nebraska,0,0,1,0,40.350542,-97.633034
"Abie Y. & Edna Borntreger, Jr.",20142 County Highway MM,Wisconsin,1,0,0,0,43.88027221879102,-90.5039297741665
"Able Freight Services, LLC",5340 West 104th St.,California,0,1,0,0,33.94188440133042,-118.37326401538013
Abner & Fannie Miller,155 Cedarville Rd,New York,1,0,0,0,42.9328195,-75.11902658189399
Abner & Lydia Allgyer,15503 County Highway D,Wisconsin,1,0,0,0,45.0676108480273,-91.04475145702675
Abner A. Glick,414 Eden Road,Pennsylvania,1,0,0,0,40.069713364097346,-76.29695795771684
Abner Ebersol,979 Sandy Bottom Road,Maryland,1,0,0,0,39.4111253,-75.9109337
Abner S. King,619 West Lincoln Ave.,Pennsylvania,1,1,0,0,40.16968601609896,-76.32187850420704
"Abounding Harvest Mountain Farm, LLC",25015 Mountain Charlie Rd.,California,0,1,0,0,37.11107304489384,-121.99213861395279
Abraham E. & Clara Miller,24935 Lincoln Avenue,Wisconsin,1,0,0,0,43.83818676706864,-90.49376100607724
Abram B. Zook,4210 Red Well Road,Pennsylvania,1,0,0,0,40.064523,-76.053476
Abram L. Miller,296 Phillip Rd,New York,1,0,0,0,42.945095706464336,-74.74822959965304
Abram Z. Smoker,105 Thomas Road,Pennsylvania,1,0,0,0,40.34676711380605,-79.18075191442264
Abundant Harvest Organics,257 N. 6th Avenue,California,0,1,0,0,34.89964200794602,-117.02129239398755
Abundant Terraced Earth,132 Larkspur Court,Colorado,0,1,0,0,40.568727,-105.111344
Açaí Of America Inc.,225 W. 34th St.,New York,0,1,0,0,40.7517799,-73.9920745
Ackerman Certified Organic Farm,29087 N 2850 E Rd,Illinois,0,0,1,0,40.71354078008697,-88.71784277640127
"ACMII California 4, LLC Organic",900 West Grand Avenue,California,0,1,0,0,34.04754,-117.758653
"ACMPC Oregon 1, LLC DBA Humbug Farm Formerly Humbug Farm",3705 Independence Highway,Oregon,0,1,0,0,44.87967386887097,-123.18754208825233
"ACMPC Oregon 2, LLC DBA Halls Ferry Farm Formerly Halls Ferry Farm",5605 Halls Ferry Road,Oregon,0,1,0,0,44.88716883385502,-123.15425299467132
Acorn Community Farm,1259 Indian Creek Road,Virginia,0,1,0,0,36.58817981215636,-76.17373425107955
"Acquistapace Farms, Inc.",629 Simas Road,California,0,1,0,0,34.95574386077961,-120.55839207055611
ACRE Farm LLC dba Four Root Farm,257 Tater Hill Road,Connecticut,0,1,0,0,41.4798654,-72.3598655
Adam A. Miller,8467 Ballard Road,New York,1,0,0,0,42.457555,-78.21888000000001
Adam E. Hershberger,4557 South Lebanon Road,New York,1,0,0,0,42.767911404774026,-75.68405008602939
Adam Konka,3758 Hobday Rd,New York,1,0,0,0,42.619385318180946,-78.23199363590287
Adam N. & Lydiann Raber,3096 Township Road 110,Ohio,1,0,0,0,40.45108,-81.843864
Adamah,116 Johnson Rd.,Connecticut,0,1,0,0,41.63535689291456,-72.44506900448764
Adamow Farm,591 Doing Rd.,New York,1,0,0,0,42.574207,-75.58432
Adam's Acres,32400 Harris Road,Illinois,0,1,0,0,42.33263667001602,-88.01453839045396
"Adams Acres, LLC",7047 Sevier Rd,New York,0,1,0,0,42.94819110453469,-76.03363320086305
Adams Grain Company,1030 East Street,California,0,0,1,0,32.714952,-117.155063
ADAMVS LLC Dba ADAMVS,501 White Cottage North,California,0,1,0,0,37.411126249999995,-122.05714278308321
Adastra Vineyards,2545 Las Amigas Rd.,California,0,1,0,0,38.23018337838151,-122.33267821107422
Aden N. Miller,1398 Parker Street,New York,1,0,0,0,40.836017,-73.846786
Adirondack Hay And Grains Partnership,208 Clark Rd.,New York,0,0,1,0,42.37033127397156,-73.5436201735647
Adirondack View Farm,210 Herman Road,New York,1,0,0,0,42.774898504791096,-74.82544779610788
"Adore Organics Incorporated DBA Love Organic, Inc.",26257 Research Place,California,0,1,0,0,37.403558,-121.9262299
"Aeschlimann Farms, LLC",243 Clemons Rd,New York,1,0,0,0,43.004085,-75.14483854535376
"AFP Advanced Food Products, LLC",158 West Jackson Street,Pennsylvania,1,0,0,0,39.95124039003126,-76.72582469567956
Ag Central Inc.,215 Gilmore Road,Pennsylvania,0,0,1,0,41.163146605075774,-79.95870513351616
AG LAND & CATTLE INC.,4599 COUNTY ROAD KK,Texas,0,0,1,0,34.94012057381859,-102.54551450122214
Ag Source LLC,515 Muddy Run Road,Pennsylvania,0,0,1,0,40.500422981869995,-79.24125749070207
"Aggrigator, Inc.",350 W. Beach St.,California,0,1,0,0,36.907144,-121.763736
"Agpro, Inc.",2940 W. Betteravia Rd.,California,0,1,0,0,34.91819545738883,-120.51796001903081
"Agrana Fruit US, Inc",16197 North County Road #25-A,Ohio,0,1,0,0,40.5495369,-84.5640773
"Agrana Fruit US, Inc.",8864 Sixty Road,New York,0,1,0,0,43.1898119,-76.3222084
Agreda Acres,2779 E. Lynn Rd.,Illinois,0,0,1,0,42.15965587463207,-89.27961382294495
Agriculture Lands Conservancy Dba Happy Valley Farm,1050 Happy Valley Road,California,0,1,0,0,37.632544374718,-121.87023101804796
Agro-Jal Farms,257 Kathleen Ct.,California,0,1,0,0,34.95419185714285,-120.45653957142858
Agro-Jal Farms,Thompson Rd,California,0,1,0,0,34.9438762,-117.1630336
Agropur,105 E 3rd Avenue,Wisconsin,1,0,0,0,42.681769,-88.54166179679953
Agropur Inc,5252 Clay Ave. SW,Michigan,1,0,1,0,42.869583172970614,-85.6770799847973
"Agrovice, Inc.",5828 Road 32,California,0,1,0,0,36.036313,-119.500388
Ahimsa Sanctuary Farms LLP,4504 Hana Hwy,Hawaii,0,1,0,0,20.76572217647059,-155.99516647058823
